category,name,summary,thumbnail_url,description,content,content_image_url,count
스킨 케어 기프트,페뷸러스 페이스 클렌저,대부분 피부 타입에 이상적,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,아침 저녁으로 깨끗한 손에 덜어 거품을 낸 후 물로 씻어 냅니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,파슬리 씨드 안티 옥시던트 세럼,항산화 효과가 뛰어난 추출물의 복합적 블렌드,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,우수한 성분이 혼합되어 부드럽고 매끈한 피부로 가꿔주는 알로에 베라 베이스의 수분 세럼,세안 후 토너를 바른 피부에 사용합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,비 앤 티 밸런싱 토너,특히 민감성 피부에 이상적,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,프로비타민 B5가 함유하여 피부의 밸런스를 잡아주는 수렴성 토너,아침과 저녁 ∙ 화장솜이나 손에 직접 덜어내어 세안을 마친 얼굴과 목에 두드리세요.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,파슬리 씨드 페이셜 클렌저,중성 ∙ 복합성 ∙ 문제성 피부,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,피부를 건조하지 않고 부드럽게 세정해주는 젤 클렌저,아침 ∙ 저녁으로 깨끗한 손에 덜어 거품을 낸 후 세안합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,만다린 페이셜 하이드레이팅 크림,번들거림이나 유분감이 없이 수분을 공급합니다.,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,시트러스 기반의 보태니컬 오일 블렌드를 함유하여 피부의 정화와 밸런스 잡아주는 가벼운 타입의 수분 크림,세안 후 토너를 바른 피부에 사용합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,이미디에이트 모이스처 페이셜 하이드로졸,빠르게 수분을 공급하는 가벼운 미스트,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,어디서든 피부와 오감에 생기를 불어넣어 주는 상쾌한 미스트,적당한 거리에서 원하는 얼굴과 목에 분사한 후 자연 건조시킵니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,카멜리아 너트 페이셜 하이드레이팅 크림,중성 ∙ 건성 ∙ 민감성 피부,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,견과류와 식물성 추출물을 함유한 풍부한 영양의 하이드레이팅 크림,세안 후 토너를 바른 피부에 사용합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,블루 카모마일 페이셜 하이드레이팅 마스크,피부에 필요한 집중적인 수분 충전,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,피부의 밸런스를 유지하면서도 집중적으로 수분을 공급하는 가벼운 수분 마스크,매주 2회 사용해주세요. 제품을 바른 후 토너를 적신 화장솜으로 닦아내어 피부 위에 가볍고 풍부한 수분막 형성해줍니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,프림로즈 페이셜 클렌징 마스크,피부를 깨끗하게 세정하는 클레이 마스크,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,식물성 오일이 피부에 영양분을 공급하는 동시에 잔여물을 깨끗이 씻어내어 상쾌함을 더하는 클레이 타입의 클렌징 마스크,매주 2회 깨끗하게 클렌징하고 피부에 고르게 바릅니다. 최대 15분 동안 그대로 둔 다음 따뜻한 물로 씻어줍니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
스킨 케어 기프트,프로텍티브 립 밤 SPF30,UVB를 차단하는 립 밤,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,보태니컬 오일로 부드러움 ∙ 보습 ∙ 영양을 공급하면서 UVB를 모두 차단하여 입술을 태양으로부터 보호해주는 립 밤. 실리콘 ∙ 파라핀 ∙ 비즈왁스 또는 기타 동물 유래 성분이 들어가지 않은 제품입니다.,튜브를 가볍게 짜서 입술 위에 펴 발라 주세요.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
클렌저,퓨리파잉 페이셜 크림 클렌저,건성 피부를 위한 데일리 크림 클렌저,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,가벼운 메이크업을 지워주고 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저,매주 2회 사용해주세요. 제품을 바른 후 토너를 적신 화장솜으로 닦아내어 피부 위에 가볍고 풍부한 수분막 형성해줍니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
클렌저,아이 리무버,오일 타입의 아이 메이크업 리무버,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,젖은 화장솜에 덜어 아이 메이크업 제품이 용해될 때까지 기다렸다 닦아냅니다,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
클렌저,어메이징 페이스 클렌저,지성 ∙ 복합성 피부에 이상적,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,아침 저녁으로 깨끗한 손에 덜어 거품을 낸 후 세안합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
클렌저,인 투 마인즈 페이셜 클렌저,복합성 피부의 구체적인 니즈를 충족시켜줍니다.,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,아침 저녁으로 깨끗한 손에 덜어 거품을 낸 후 물로 씻어냅니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
클렌저,젠틀 페이셜 클렌징 밀크,건성 ∙ 민감성 피부를 위해 탄생,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,아침과 저녁 사용 전에 흔들어 주세요. 이후 소량을 손에 덜어 얼굴과 목을 마사지합니다. 미지근한 물로 씻어 내거나 젖은 화장솜을 이용해 닦아냅니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
트리트먼트 & 마스크,다마스칸 로즈 페이셜 트리트먼트,영양을 공급하는 고농축 오일 블렌드,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,열 가지 우수한 식물 추출물이 함유되어 있는 건성 또는 문제성 피부에 적합한 페이셜 오일,매주 3회 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
트리트먼트 & 마스크,카모마일 컨센트레이트 안티 블레미쉬 마스크,문제성 피부를 위한 클레이 기반의 클렌징 제품,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,건조함 없이 모공까지 깨끗하게 세정해주며 자극이 적고 효과적으로 피부를 진정시켜주어 문제성 피부 관리에도 적합한 딥 클렌징 마스크,매주 2회 깨끗하게 클렌징한 피부에 얇게 바르거나 필요 시 문제성 피부가 발생한 곳에 사용 후 깨끗하게 세안해줍니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
트리트먼트 & 마스크,파슬리 씨드 안티 옥시던트 페이셜 트리트먼트,효과가 탁월한 오일 블렌드,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,파슬리 씨드와 로즈힙 열매오일 추출물이 함유된 클레이 베이스의 딥 클렌징 마스크로 피부의 잔여물을 효과적으로 세정하며 피부의 수분감을 유지시켜줍니다.,매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 기다린 후 따뜻한 물로 세안합니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
트리트먼트 & 마스크,컨트롤,문제성 피부 부위에 직접 사용합니다.,https://i.postimg.cc/GhC24q1T/oscar-helgstrand-dpf-Ky-Xwa-E-unsplash-removebg-preview.png,문제성 피부를 효과적으로 진정시켜주는 순한 스팟 트리트먼트,깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다.,https://i.postimg.cc/nL8qrqTd/soap-2726394-1920.jpg,0
